,0
Letta,329
Levico,330
Liman,331
Limmaren,332
Little Bear,333
Little Black,334
Little Fairview,335
Little Harris,336
Little Murex,337
Little Orange,338
Little Red Fish,339
Little River,340
Little Santa Fe,341
Littoistenjarvi,342
Lochloosa,343
Lodzko Dymaczewskie,344
Lokve,345
Lorraine,346
Lotela,347
Lotsjon,348
Louisa,349
Lubosinskie,350
Lucerne,351
Luhacovice,352
Lukstas,353
Lurna,354
Lusowskie,355
Lyngby,356
Lynn,357
MARIE LAKE,358
MATCHAYAW LAKE,359
MCLEOD LAKE - EAST,360
MINNIE LAKE,361
MIQUELON LAKE,362
MONS LAKE (NEAR SMOKY LAKE),363
MOONSHINE LAKE,364
MOORE (CRANE) LAKE,365
MOOSE LAKE,366
MURIEL LAKE - WHOLE LAKE,367
Maggiore,368
Majcz,369
Malaren Ekoln,370
Malinec,371
Malo Jezero,372
Maltanski Reservoir,373
Marathonas,374
Margaret,375
Markham,376
Mastis,377
Matejovsky,378
May,379
May Prairie,380
McCloud,381
Meerwijkplas,382
Melrose Bay,383
Mequinenza Reservoir,384
Mikolajskie,385
Milltown,386
Minnehaha,387
Minniehaha,388
Miranda,389
Mirror,390
Mize,391
Mjaer,392
Mogan,393
Molenplas,394
Mollakoy,395
Mondsee,396
Monroe West,397
Montcortes,398
Morat,399
Mostiste,400
Muggelsee,401
Muuratjarvi,402
NAKAMUN LAKE,403
Neagh,404
Nesyt,405
Newnan,406
Nidzkie,407
Niedulis,408
Niepruszewskie,409
Nieuwe Meer,410
Njivice,411
Noreast,412
North,413
Nove Mlyny II,414
Novovesky,415
OSTER LAKE,416
Ober,417
Oberuckersee,418
Ohrid,419
Orange,420
Orienta East,421
Osceola,422
Ostensjovannet,423
Otter,424
PIGEON LAKE,425
PINE LAKE,426
PINE LAKE - MIDDLE REGION,427
Pabezninkai,428
Palandoken,429
Panasoffkee,430
Paradeniz,431
Patkai Reservoir,432
Pavin,433
Peanut Pond,434
Peetschsee,435
Peipsi,436
